iter	RMSE
0	39.83898388
1	38.08834057
2	36.48781535
3	34.99635722
4	33.57756963
5	32.30434292
6	31.11151626
7	30.01248488
8	29.00081586
9	28.07905538
10	27.20585173
11	26.44906297
12	25.71170055
13	25.06065846
14	24.47690881
15	23.92840648
16	23.41343308
17	22.93275624
18	22.49283713
19	22.11519528
20	21.76074668
21	21.42645629
22	21.12293913
23	20.83527776
24	20.5817729
25	20.35552641
26	20.13174939
27	19.92992366
28	19.74517368
29	19.59311926
30	19.43830688
31	19.29955819
32	19.17516015
33	19.06179121
34	18.96447014
35	18.87017906
36	18.78074524
37	18.69846051
38	18.62568218
39	18.56889511
40	18.50796444
41	18.44724945
42	18.39654349
43	18.34963024
44	18.3013624
45	18.26030904
46	18.22313381
47	18.18493556
48	18.1511172
49	18.11553846
50	18.08907124
51	18.06081103
52	18.03873594
53	18.01434981
54	17.9949056
55	17.97136217
56	17.95652484
57	17.93508819
58	17.91596296
59	17.8977176
60	17.88564377
61	17.86966791
62	17.85425978
63	17.84383189
64	17.83129354
65	17.821835
66	17.80786785
67	17.79768034
68	17.7875804
69	17.77269226
70	17.76446493
71	17.75207505
72	17.74393933
73	17.7381035
74	17.73097298
75	17.71804516
76	17.71277079
77	17.70369845
78	17.69862332
79	17.6958141
80	17.68948427
81	17.6785339
82	17.66133095
83	17.64924706
84	17.64459521
85	17.6342075
86	17.62638962
87	17.6205878
88	17.61308949
89	17.60661038
90	17.60125358
91	17.59511461
92	17.59018617
93	17.582599
94	17.57438159
95	17.56768501
96	17.56205604
97	17.55734783
98	17.55019039
99	17.54477812
100	17.53797339
101	17.52968987
102	17.52391046
103	17.51842636
104	17.51403091
105	17.50865504
106	17.50260123
107	17.49700569
108	17.49367648
109	17.4896989
110	17.48223589
111	17.47670179
112	17.46809304
113	17.46609206
114	17.46250604
115	17.46043381
116	17.4510663
117	17.44779018
118	17.44040214
119	17.43506799
120	17.42774594
121	17.42348071
122	17.4125152
123	17.40803202
124	17.40281429
125	17.3981958
126	17.39450352
127	17.39108118
128	17.38668276
129	17.38124799
130	17.37667911
131	17.36964244
132	17.36292101
133	17.35901616
134	17.35571146
135	17.35157099
136	17.34940645
137	17.34449361
138	17.33820289
139	17.33264265
140	17.33047669
141	17.32524438
142	17.31994366
143	17.31514699
144	17.31013252
145	17.30464702
146	17.30128664
