iter	Passed	Remaining
0	151	151068
1	157	78781
2	165	55042
3	172	42921
4	180	35840
5	186	30955
6	192	27373
7	200	24812
8	206	22704
9	212	21081
10	219	19718
11	225	18542
12	232	17622
13	237	16753
14	246	16180
15	253	15590
16	262	15151
17	288	15761
18	304	15722
19	319	15665
20	339	15837
21	361	16063
22	371	15771
23	381	15524
24	392	15292
25	398	14944
26	410	14798
27	428	14859
28	434	14536
29	440	14227
30	446	13954
31	452	13698
32	460	13499
33	464	13186
34	469	12956
35	476	12767
36	483	12579
37	491	12437
38	497	12262
39	504	12112
40	511	11953
41	517	11797
42	525	11688
43	531	11542
44	538	11424
45	543	11279
46	549	11151
47	557	11047
48	563	10926
49	570	10833
50	576	10729
51	582	10616
52	589	10537
53	595	10426
54	601	10334
55	607	10243
56	614	10160
57	621	10101
58	628	10016
59	635	9960
60	642	9883
61	648	9810
62	654	9738
63	660	9658
64	669	9624
65	675	9554
66	682	9506
67	688	9438
68	694	9368
69	701	9325
70	708	9268
71	716	9234
72	722	9178
73	728	9112
74	734	9062
75	740	8999
76	746	8949
77	752	8893
78	758	8838
79	765	8800
80	771	8748
81	776	8694
82	784	8665
83	790	8625
84	797	8586
85	805	8557
86	812	8525
87	819	8490
88	825	8454
89	832	8420
90	837	8360
91	842	8319
92	849	8280
93	854	8237
94	861	8208
95	867	8166
96	872	8124
97	879	8093
98	885	8055
99	890	8015
100	897	7991
101	903	7956
102	909	7917
103	914	7881
104	920	7847
105	928	7828
106	934	7799
107	941	7777
108	947	7745
109	953	7710
110	959	7688
111	966	7659
112	972	7630
113	978	7605
114	984	7577
115	992	7563
116	998	7535
117	1004	7511
118	1011	7486
119	1017	7460
120	1024	7442
121	1030	7418
122	1037	7399
123	1044	7375
124	1049	7346
125	1056	7331
126	1062	7305
127	1069	7287
128	1076	7268
129	1082	7244
130	1090	7233
131	1096	7211
132	1104	7202
133	1111	7180
134	1118	7163
135	1124	7144
136	1129	7114
137	1137	7106
138	1143	7082
139	1151	7074
140	1157	7054
141	1163	7029
142	1170	7016
143	1176	6995
144	1184	6983
145	1189	6960
146	1196	6941
147	1205	6938
148	1211	6920
149	1218	6903
150	1224	6886
151	1234	6887
152	1241	6874
153	1249	6863
154	1255	6842
155	1261	6826
156	1268	6810
157	1274	6793
158	1281	6777
159	1287	6761
160	1293	6742
161	1300	6726
162	1306	6708
163	1314	6701
164	1320	6684
165	1327	6671
166	1333	6652
167	1339	6632
168	1347	6626
169	1352	6604
170	1360	6596
171	1370	6599
172	1381	6602
173	1389	6598
174	1400	6600
175	1412	6611
176	1419	6599
177	1428	6595
178	1434	6580
179	1442	6572
180	1448	6553
181	1453	6532
182	1461	6525
183	1467	6508
184	1474	6494
185	1479	6476
186	1485	6457
187	1493	6449
188	1498	6431
189	1505	6416
190	1511	6400
191	1516	6381
192	1523	6370
193	1529	6354
194	1535	6338
195	1541	6324
196	1547	6306
197	1553	6293
198	1559	6277
199	1565	6262
200	1573	6254
201	1578	6236
202	1584	6221
203	1590	6207
204	1595	6189
205	1603	6179
206	1610	6169
207	1615	6149
208	1622	6140
209	1628	6124
210	1634	6113
211	1641	6099
212	1646	6083
213	1653	6074
214	1658	6057
215	1666	6048
216	1673	6038
217	1679	6024
218	1686	6013
219	1692	6000
220	1699	5990
221	1705	5977
222	1711	5964
223	1718	5953
224	1723	5938
225	1730	5925
226	1736	5914
227	1742	5901
228	1751	5897
229	1757	5883
230	1764	5874
231	1770	5859
232	1776	5847
233	1783	5839
234	1789	5825
235	1797	5819
236	1803	5805
237	1809	5792
238	1815	5781
239	1821	5769
240	1828	5758
241	1833	5743
242	1875	5842
243	1898	5880
244	1905	5871
245	1912	5862
246	1917	5846
247	1923	5832
248	1929	5818
249	1934	5803
250	1941	5792
251	1946	5778
252	1952	5763
253	1958	5751
254	1964	5738
255	1969	5723
256	1976	5713
257	1981	5699
258	1987	5686
259	1992	5672
260	1998	5658
261	2005	5649
262	2011	5636
263	2016	5623
264	2024	5613
265	2029	5600
266	2038	5597
267	2047	5591
268	2055	5586
269	2061	5574
270	2068	5563
271	2073	5550
272	2078	5536
273	2085	5526
274	2091	5512
275	2096	5499
276	2103	5489
277	2109	5478
278	2115	5465
279	2120	5453
280	2126	5440
281	2132	5428
282	2138	5417
283	2144	5406
284	2150	5396
285	2156	5382
286	2162	5371
287	2169	5362
288	2174	5350
289	2181	5341
290	2187	5330
291	2193	5318
292	2201	5311
293	2207	5300
294	2215	5293
295	2221	5283
296	2226	5271
297	2233	5262
298	2239	5251
299	2246	5240
300	2251	5228
301	2256	5215
302	2263	5206
303	2268	5194
304	2274	5182
305	2280	5172
306	2286	5161
307	2295	5156
308	2301	5147
309	2308	5137
310	2315	5129
311	2321	5118
312	2328	5109
313	2334	5100
314	2341	5091
315	2350	5086
316	2357	5078
317	2364	5070
318	2370	5061
319	2377	5051
320	2383	5040
321	2389	5032
322	2398	5026
323	2406	5020
324	2416	5017
325	2429	5023
326	2442	5027
327	2457	5035
328	2464	5026
329	2474	5024
330	2489	5030
331	2498	5027
332	2512	5031
333	2525	5035
334	2534	5030
335	2542	5025
336	2552	5021
337	2562	5018
338	2570	5011
339	2577	5002
340	2584	4994
341	2591	4985
342	2597	4975
343	2604	4967
344	2610	4956
345	2617	4946
346	2624	4938
347	2629	4926
348	2637	4919
349	2644	4910
350	2651	4901
351	2657	4892
352	2663	4881
353	2670	4872
354	2677	4863
355	2683	4853
356	2688	4842
357	2694	4831
358	2700	4822
359	2707	4812
360	2712	4801
361	2719	4793
362	2725	4782
363	2732	4773
364	2737	4763
365	2743	4752
366	2749	4742
367	2755	4732
368	2761	4722
369	2768	4713
370	2774	4703
371	2780	4694
372	2786	4684
373	2792	4674
374	2799	4665
375	2805	4655
376	2811	4645
377	2816	4635
378	2822	4624
379	2829	4616
380	2835	4606
381	2841	4597
382	2847	4587
383	2853	4577
384	2859	4568
385	2865	4558
386	2872	4549
387	2878	4540
388	2884	4531
389	2890	4521
390	2896	4511
391	2902	4501
392	2907	4491
393	2913	4481
394	2918	4470
395	2924	4460
396	2930	4450
397	2934	4439
398	2941	4431
399	2948	4422
400	2954	4413
401	2961	4405
402	2969	4398
403	2979	4394
404	2990	4393
405	3007	4400
406	3021	4403
407	3036	4405
408	3046	4401
409	3053	4393
410	3063	4390
411	3102	4428
412	3115	4428
413	3127	4426
414	3187	4492
415	3200	4492
416	3230	4516
417	3252	4528
418	3261	4522
419	3271	4517
420	3278	4508
421	3289	4506
422	3316	4523
423	3337	4534
424	3344	4524
425	3351	4516
426	3360	4509
427	3368	4502
428	3375	4492
429	3382	4484
430	3390	4475
431	3400	4471
432	3408	4463
433	3416	4455
434	3423	4447
435	3432	4440
436	3439	4431
437	3447	4423
438	3455	4416
